"","Plot","Species","SampleYear","Mortality","Elevation","Slope","PRam","Fire","HostCwdMass","PlotCwdMass"
"1","BS002","Tanoak",2022,1,359,33,"1","0",20.7741178367837,20.7741178367837
"2","BS002","Tanoak",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"3","BS002","Redwood",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"4","BS002","Redwood",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"5","BS002","Redwood",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"6","BS002","Redwood",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"7","BS002","Redwood",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"8","BS002","Redwood",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"9","BS002","Tanoak",2022,1,359,33,"1","0",20.7741178367837,20.7741178367837
"10","BS002","Tanoak",2022,1,359,33,"1","0",20.7741178367837,20.7741178367837
"11","BS002","Redwood",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"12","BS002","Tanoak",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"13","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"14","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"15","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"16","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"17","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"18","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"19","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"20","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"21","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"22","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"23","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"24","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"25","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"26","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"27","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"28","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"29","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"30","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"31","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"32","BS002","Bay laurel",2022,1,359,33,"1","0",20.7741178367837,20.7741178367837
"33","BS002","Tanoak",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"34","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
"35","BS002","Bay laurel",2022,0,359,33,"1","0",20.7741178367837,20.7741178367837
